inst#,actual,predicted,error,commodity_name
478,130,140.552,10.552,'Garlic (Imported)'
479,156,157.692,1.692,'Palm Oil'
480,60,58.823,-1.177,'Ata (Packet)'
481,44.5,45.365,0.865,'Ata (loose) - White'
482,177.5,169.311,-8.189,'Broiler chicken'
483,53.167,52.576,-0.591,'Ata (Packet)'
484,167.5,171.518,4.018,'Ginger (Imported)'
485,110,106.313,-3.687,'Garlic (local) - Big Size'
486,165,168.834,3.834,'Pangash (big)'
487,70.833,69.261,-1.572,'Onion (local)'
488,57.667,57.204,-0.462,'Ata (Packet)'
489,150,164.844,14.844,'Green Chili (Local)'
490,135,159.587,24.587,'Green Chili (Local)'
491,175,177.531,2.531,'Pangash (big)'
492,153.333,168.493,15.16,'Green Chili (Local)'
493,49,49.533,0.533,'Ata (loose) - White'
494,175,174.838,-0.162,'Broiler chicken'
495,145,157.003,12.003,'Garlic (Imported)'
496,49,50.573,1.573,'Ata (Packet)'
497,57.667,57.176,-0.491,'Ata (Packet)'
498,150,161.006,11.006,'Green Chili (Local)'
499,48,50.644,2.644,'Egg Farm-Red'
500,19,20.343,1.343,'Potato (Holland) - Red'
501,80.833,80.721,-0.112,'Rice - Fine'
502,155.5,156.967,1.467,'Palm Oil'
503,731,728.967,-2.033,Beef
504,159,159.565,0.565,'Palm Oil'
505,65,67.963,2.963,'Rice - Medium'
506,175,150.944,-24.056,'Green Chili (Local)'
507,64,66.375,2.375,'Rice - Medium'
508,44.5,45.747,1.247,'Egg Farm-Red'
509,120,179.423,59.423,'Ginger (Imported)'
510,745,745.803,0.803,Beef
511,175.5,173.028,-2.472,'Soybean Oil(loose)'
512,75,76.937,1.937,Milk
513,46.5,48.228,1.728,'Ata (loose) - White'
514,177.5,169.544,-7.956,'Broiler chicken'
515,110,103.364,-6.636,'Garlic (local) - Big Size'
516,112.5,107.915,-4.585,'Garlic (local) - Big Size'
517,46.25,47.198,0.948,'Ata (loose) - White'
518,151.667,152.733,1.067,'Garlic (Imported)'
519,120,175.509,55.509,'Ginger (Imported)'
520,67.5,70.037,2.537,'Onion (local)'
521,64,66.314,2.314,'Rice - Medium'
522,48,49.845,1.845,'Egg Farm-Red'
523,177.5,169.566,-7.934,'Broiler chicken'
524,176.375,177.478,1.103,'Soybean Oil(loose)'
525,175,177.482,2.482,'Pangash (big)'
526,68.5,70.085,1.585,'Rice - Medium'
527,44.5,48.234,3.734,'Egg Farm-Red'
